Title,Year,Architects,Product,Category,Image
Hoogeveen house / Bureau B+O,2009,Bureau B+O Architecten,Brick,Houses,https://images.adsttc.com/media/images/500f/26e4/28ba/0d0c/c700/1dce/newsletter/stringio.jpg?1413989868
Hervey Bay Farmhouse / Owen and Vokes,2009,Owen and Vokes,Brick,Houses,https://images.adsttc.com/media/images/5010/66b6/28ba/0d42/2200/1d02/newsletter/stringio.jpg?1414342694
V23K16 / Pasel.Kuenzel,2009,Pasel.Kuenzel Architects,Brick,Houses,https://images.adsttc.com/media/images/5011/8bbd/28ba/0d70/4200/1089/medium_jpg/stringio.jpg?1361423099
University  Utrecht / Grosfeld van der Velde Architecten,2009,Grosfeld van der Velde Architecten,Brick,Renovation,https://images.adsttc.com/media/images/5012/102a/28ba/0d55/8100/044a/medium_jpg/stringio.jpg?1414478620
Maison 51 / FABRE/deMARIEN architectes,2010,FABRE/de,Brick,Houses,https://images.adsttc.com/media/images/5008/8b53/28ba/0d50/da00/0ef5/newsletter/stringio.jpg?1426584869
HD Haus / Bernardo Bader,2010,Bernardo Bader,Brick,Houses,https://images.adsttc.com/media/images/5008/adba/28ba/0d50/da00/171a/medium_jpg/stringio.jpg?1414376804
South Asian Human Rights Documentation Centre / Anagram Architects,2010,Anagram Architects,Brick,Others,https://images.adsttc.com/media/images/5008/fa29/28ba/0d27/a700/105f/medium_jpg/stringio.jpg?1414380929
Danilovskiy Fort / Sergey Skuratov Architects,2010,Sergey Skuratov Architects,Brick,Others,https://images.adsttc.com/media/images/5009/0c75/28ba/0d27/a700/14eb/newsletter/stringio.jpg?1361391110
Cvetkova Apartments / Andrej Kalamar,2010,Andrej Kalamar,Brick,Apartments,https://images.adsttc.com/media/images/5009/3cab/28ba/0d27/a700/1fe6/newsletter/stringio.jpg?1414385771
Z House / Donovan Hill,2010,Donovan Hill,Brick,Houses,https://images.adsttc.com/media/images/5009/4535/28ba/0d27/a700/21c7/newsletter/stringio.jpg?1414386809
